input,context,output
hand wash,Hand wash is used in Korea to mean liquid soap placed in bathrooms or kitchens. The natural English word for this product is hand soap.,hand soap
point card,"Point card is used in Korea for store cards that let customers collect points and use them for discounts. In English, the correct term is loyalty card.",loyalty card
half coat,Half coat is said in Korea to describe a coat longer than a jacket but shorter than a long coat. The natural English phrase for this style is mid length coat.,mid length coat
color lens,Color lens is often used in Korea to describe contact lenses that change or enhance eye color. The proper English term is colored contact lens.,colored contact lens
hiking shoes,Hiking shoes is used in Korea to mean footwear for hiking or climbing. English speakers usually call them hiking boots.,hiking boots
morning set,"Morning set is a phrase in Korea for breakfast meals sold at caf?s or fast food places. In English, it is called a breakfast set or breakfast combo.",breakfast combo
note,Note is used in Korea to mean a writing notebook for study or class. The natural English term is notebook.,notebook
health trainer,"Health trainer is said in Korea for a gym instructor who guides people in exercise. In English, the correct term is personal trainer.",personal trainer
cooking foil,Cooking foil is commonly used in Korea for thin foil sheets in the kitchen. The natural English word is aluminum foil.,aluminum foil
hunting,"Hunting is used in Korea to mean approaching strangers, often at clubs or bars, to flirt or pick them up. In English, this is expressed as flirting or picking up people.",flirting
morning drama,"Morning drama is used in Korea for soap operas broadcast in the daytime, often watched at home. The natural English expression is daytime drama.",daytime drama
service center,"Service center is said in Korea for repair shops where broken electronics or appliances are fixed. In English, this place is called a repair center.",repair center
handle,"Handle is used in Korea to mean a car¡¯s steering wheel. In English, the correct word is steering wheel.",steering wheel
sports dance,"Sports dance is said in Korea for formal partner dancing. In English, it is called ballroom dance.",ballroom dance
silver town,Silver town is often used in Korea for residential communities for older adults. The natural English term is retirement village.,retirement village
pop song,Pop song is commonly used in Korea to describe Western popular music. The proper English expression is pop music.,pop music
ice tea,"Ice tea is often used in Korea when ordering cold peach flavor tea. In English, the correct phrase is peach iced tea.",iced tea
schedule,"Schedule is used in Korea to mean a personal or travel plan. In English, the right word is itinerary.",itinerary
night duty,Night duty is said in Korea to mean working an overnight shift. The natural English phrase is night shift.,night shift
pension house,"Pension house is used in Korea for small tourist accommodations. In English, the correct word is guesthouse.",guesthouse
